instance,algorithm,cities,initial_length,nearest_neighbor_length,best_length,improvement_vs_initial_percent,difference_vs_nearest_neighbor,objective_evaluations,time_s,seed,accepted_worse
tsp.006,Tabu Search,120,60303.96281134011,10772.861394949143,13042.927452352653,78.37135928669029,2270.06605740351,20000,0.32714129996020347,8027,
tsp.006,Simulated Annealing,120,63240.34455828844,10772.861394949143,9877.350200561104,84.38125176333097,-895.5111943880383,20000,0.33673019998241216,8028,1293
tsp.006,Tabu Search,120,63240.34455828844,10772.861394949143,12102.374416197816,80.86288982021105,1329.5130212486729,20000,0.31867700000293553,8028,
tsp.006,Simulated Annealing,120,58721.106117964424,10772.861394949143,10427.82986777989,82.2417686634998,-345.0315271692525,20000,0.33664249995490536,8029,1218
tsp.006,Tabu Search,120,58721.106117964424,10772.861394949143,12886.269835976296,78.05513096076706,2113.4084410271535,20000,0.3381057000369765,8029,
tsp.006,Simulated Annealing,120,57981.516091639605,10772.861394949143,10429.797055380324,82.01185867769297,-343.06433956881847,20000,0.3424152999650687,8030,1264
tsp.006,Tabu Search,120,57981.516091639605,10772.861394949143,13028.059412119357,77.530667891594,2255.1980171702144,20000,0.3279760000295937,8030,
tsp.007,Simulated Annealing,120,69306.73428786964,11993.021105959306,10508.757368121027,84.83732140015098,-1484.2637378382788,20000,0.3441850999952294,9026,1239
tsp.007,Tabu Search,120,69306.73428786964,11993.021105959306,13443.049023446318,80.60354572816861,1450.027917487012,20000,0.331846899993252,9026,
tsp.007,Simulated Annealing,120,65524.81867501637,11993.021105959306,10361.490531247542,84.18692223684364,-1631.5305747117636,20000,0.3447421999881044,9027,1231
tsp.007,Tabu Search,120,65524.81867501637,11993.021105959306,13834.741999712609,78.88625672002418,1841.7208937533032,20000,0.326577800035011,9027,
tsp.007,Simulated Annealing,120,64134.9504528708,11993.021105959306,10121.016577905606,84.21918703228286,-1872.0045280536997,20000,0.34370189998298883,9028,1245
tsp.007,Tabu Search,120,64134.9504528708,11993.021105959306,13969.405233950836,78.21873232097346,1976.3841279915305,20000,0.3278185000526719,9028,
tsp.007,Simulated Annealing,120,64776.94264974729,11993.021105959306,10722.618446253142,83.44685931808952,-1270.4026597061638,20000,0.35730460000922903,9029,1209
tsp.007,Tabu Search,120,64776.94264974729,11993.021105959306,13165.71049220101,79.67531353958958,1172.6893862417037,20000,0.44004560000030324,9029,
tsp.007,Simulated Annealing,120,66549.04317075846,11993.021105959306,10177.897400328453,84.7061701935925,-1815.1237056308528,20000,0.410848600033205,9030,1310
tsp.007,Tabu Search,120,66549.04317075846,11993.021105959306,13940.44731025437,79.0523700326021,1947.426204295065,20000,0.3286530000041239,9030,
tsp.008,Simulated Annealing,120,66240.86205271582,11615.928487541518,10581.901952592114,84.02511437098929,-1034.0265349494039,20000,0.3428513999679126,10026,1184
tsp.008,Tabu Search,120,66240.86205271582,11615.928487541518,12692.4805345251,80.83889590020104,1076.5520469835828,20000,0.31354419997660443,10026,
tsp.008,Simulated Annealing,120,60245.0966663263,11615.928487541518,10702.360558376284,82.23530021430223,-913.5679291652341,20000,0.3345562999602407,10027,1245
tsp.008,Tabu Search,120,60245.0966663263,11615.928487541518,13005.432564731022,78.41246294820812,1389.5040771895037,20000,0.33459160005440935,10027,
tsp.008,Simulated Annealing,120,60631.52177854646,11615.928487541518,11024.63017749537,81.81699905576794,-591.2983100461479,20000,0.35583420004695654,10028,1283
tsp.008,Tabu Search,120,60631.52177854646,11615.928487541518,13361.422734171565,77.96291047588501,1745.4942466300472,20000,0.3479853999451734,10028,
tsp.008,Simulated Annealing,120,62169.38719047312,11615.928487541518,10407.217333068307,83.25990040535075,-1208.7111544732106,20000,0.34394230000907555,10029,1229
tsp.008,Tabu Search,120,62169.38719047312,11615.928487541518,12904.175022512369,79.24352224515764,1288.246534970851,20000,0.337095600028988,10029,
