iteration,objective_evaluations,current_length,best_length,candidate_length,delta,temperature,accepted,accepted_worse
255,255,56569.41777618212,53843.35516996809,56569.41777618212,-43.067758420591645,880.7057004226782,True,False
256,256,56684.45143317007,53843.35516996809,56684.45143317007,115.03365698795278,880.2653475724669,True,True
257,257,56637.74256348939,53843.35516996809,56637.74256348939,-46.708869680681914,879.8252148986807,True,False
258,258,57820.751709422846,53843.35516996809,57820.751709422846,1183.0091459334558,879.3853022912314,True,True
259,259,56980.38277986915,53843.35516996809,56980.38277986915,-840.3689295537001,878.9456096400859,True,False
260,260,56747.89234389869,53843.35516996809,56747.89234389869,-232.49043597045727,878.5061368352658,True,False
261,261,56747.89234389869,53843.35516996809,57714.87429962586,966.9819557271719,878.0668837668483,False,False
262,262,55846.88548168471,53843.35516996809,55846.88548168471,-901.0068622139786,877.6278503249648,True,False
263,263,55816.80704977039,53843.35516996809,55816.80704977039,-30.07843191432397,877.1890363998024,True,False
264,264,56745.435768426985,53843.35516996809,56745.435768426985,928.6287186565971,876.7504418816026,True,True
265,265,56581.52563996975,53843.35516996809,56581.52563996975,-163.91012845723662,876.3120666606619,True,False
266,266,56721.43975320147,53843.35516996809,56721.43975320147,139.91411323172633,875.8739106273315,True,True
267,267,57947.53318348124,53843.35516996809,57947.53318348124,1226.0934302797668,875.435973672018,True,True
268,268,58057.54728473253,53843.35516996809,58057.54728473253,110.01410125129144,874.998255685182,True,True
269,269,57990.64233431277,53843.35516996809,57990.64233431277,-66.90495041976033,874.5607565573395,True,False
270,270,57966.3771049664,53843.35516996809,57966.3771049664,-24.26522934636779,874.1234761790608,True,False
271,271,58544.44826004887,53843.35516996809,58544.44826004887,578.0711550824718,873.6864144409712,True,True
272,272,58544.44826004887,53843.35516996809,59569.88187198967,1025.433611940806,873.2495712337509,False,False
273,273,57937.0831086619,53843.35516996809,57937.0831086619,-607.36515138697,872.812946448134,True,False
274,274,58635.61435797339,53843.35516996809,58635.61435797339,698.5312493114932,872.3765399749101,True,True
275,275,58239.690922735295,53843.35516996809,58239.690922735295,-395.92343523809285,871.9403517049227,True,False
276,276,58239.690922735295,53843.35516996809,59507.783893767664,1268.0929710323712,871.5043815290702,False,False
277,277,57589.00727040816,53843.35516996809,57589.00727040816,-650.6836523271362,871.0686293383058,True,False
278,278,57510.05215335566,53843.35516996809,57510.05215335566,-78.95511705250067,870.6330950236367,True,False
279,279,57451.789747034745,53843.35516996809,57451.789747034745,-58.26240632091435,870.1977784761249,True,False
280,280,56999.25922342871,53843.35516996809,56999.25922342871,-452.53052360603755,869.7626795868867,True,False
281,281,57086.08460976784,53843.35516996809,57086.08460976784,86.82538633912594,869.3277982470935,True,True
282,282,56932.07256960018,53843.35516996809,56932.07256960018,-154.0120401676558,868.89313434797,True,False
283,283,56887.89008694878,53843.35516996809,56887.89008694878,-44.182482651403916,868.458687780796,True,False
284,284,56147.02900348932,53843.35516996809,56147.02900348932,-740.8610834594585,868.0244584369057,True,False
285,285,56490.567521816185,53843.35516996809,56490.567521816185,343.53851832686865,867.5904462076873,True,True
286,286,56490.567521816185,53843.35516996809,57231.880800452214,741.3132786360259,867.1566509845835,False,False
287,287,56406.321182226566,53843.35516996809,56406.321182226566,-84.24633958962283,866.7230726590913,True,False
