instance,n,m,reference_cmax,neh_cmax,initial_cmax,sa_best_cmax,difference,improvement_percent,sa_time,neh_time,accepted_worse_count,seed,best_permutation,experiment,variant,iterations,t_start,t_end,alpha,initial,neighborhood
data.001,20,5,1286,1286,1286,1286,0,0.0,0.20008980001148302,1.929998688865453e-05,460,1123,3 17 9 8 15 14 11 16 13 19 6 4 5 18 1 2 10 7 20 12,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.001,20,5,1286,1286,1286,1278,-8,0.6220839813374806,0.19970979999925476,1.8099992303177714e-05,454,1124,3 8 17 9 15 14 6 16 5 13 11 18 7 1 19 4 2 10 20 12,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1360,-5,0.3663003663003663,0.198768200003542,1.7400001524947584e-05,455,2123,6 19 10 7 15 17 9 12 11 20 3 14 8 1 18 5 16 4 13 2,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.002,20,5,1365,1365,1365,1365,0,0.0,0.1970826000033412,1.8099992303177714e-05,451,2124,19 14 6 20 3 10 17 9 18 12 7 15 1 13 16 5 4 11 2 8,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.20134350001171697,2.0000006770715117e-05,413,3123,3 16 14 4 20 7 19 1 11 18 10 12 5 13 15 6 9 8 17 2,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.003,20,5,1159,1159,1159,1098,-61,5.2631578947368425,0.21030630001041573,1.8300008377991617e-05,433,3124,3 16 4 14 20 18 7 12 1 19 11 10 15 13 5 6 9 8 17 2,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1306,-19,1.4339622641509433,0.21187520000967197,1.85999961104244e-05,465,4123,13 9 16 2 12 11 19 10 5 17 15 20 7 1 4 6 8 14 3 18,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.004,20,5,1325,1325,1325,1302,-23,1.7358490566037736,0.21020850000786595,1.829999382607639e-05,483,4124,13 9 16 17 11 1 19 10 7 20 12 5 15 2 3 8 6 14 4 18,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.21023079998849425,1.930000144056976e-05,433,5123,12 19 3 15 16 9 13 17 4 10 2 5 6 1 11 14 7 18 8 20,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
data.005,20,5,1305,1305,1305,1250,-55,4.21455938697318,0.2172491999954218,1.8999999156221747e-05,430,5124,12 4 3 10 9 16 13 17 6 19 2 5 1 11 18 15 14 7 8 20,t_start,10000,10000,10000.0,0.01,0.995,neh,swap
