iteration,current_cmax,best_cmax,candidate_cmax,move_i,move_j,tabu_used,improved_best,objective_evaluations
340,27279,27279,27279,173,208,False,False,13600
341,27290,27279,27290,284,497,False,False,13640
342,27299,27279,27299,113,115,False,False,13680
343,27299,27279,27299,309,326,False,False,13720
344,27299,27279,27299,430,437,False,False,13760
345,27298,27279,27298,344,368,False,False,13800
346,27298,27279,27298,220,247,False,False,13840
347,27298,27279,27298,130,136,False,False,13880
348,27298,27279,27298,177,184,False,False,13920
349,27302,27279,27302,214,220,False,False,13960
350,27302,27279,27302,221,222,False,False,14000
351,27312,27279,27312,125,198,False,False,14040
352,27301,27279,27301,126,219,False,False,14080
353,27301,27279,27301,295,327,False,False,14120
354,27301,27279,27301,152,157,False,False,14160
355,27301,27279,27301,167,183,False,False,14200
356,27301,27279,27301,164,177,False,False,14240
357,27301,27279,27301,201,204,False,False,14280
358,27303,27279,27303,69,107,False,False,14320
359,27306,27279,27306,172,203,False,False,14360
360,27313,27279,27313,240,450,False,False,14400
361,27307,27279,27307,451,473,False,False,14440
362,27304,27279,27304,10,18,False,False,14480
363,27297,27279,27297,343,407,False,False,14520
364,27297,27279,27297,74,177,False,False,14560
365,27297,27279,27297,374,381,False,False,14600
366,27297,27279,27297,35,36,False,False,14640
367,27297,27279,27297,201,212,False,False,14680
368,27297,27279,27297,87,102,False,False,14720
369,27285,27279,27285,456,470,False,False,14760
370,27285,27279,27285,132,154,False,False,14800
371,27282,27279,27282,276,302,False,False,14840
372,27302,27279,27302,105,222,False,False,14880
373,27291,27279,27291,111,216,False,False,14920
374,27291,27279,27291,64,97,False,False,14960
375,27281,27279,27281,203,249,False,False,15000
376,27282,27279,27282,395,454,False,False,15040
377,27281,27279,27281,345,406,False,False,15080
378,27281,27279,27281,85,97,False,False,15120
379,27281,27279,27281,106,114,False,False,15160
380,27275,27275,27275,110,144,False,True,15200
381,27267,27267,27267,117,370,False,True,15240
382,27263,27263,27263,214,391,False,True,15280
383,27252,27252,27252,282,423,False,True,15320
384,27259,27252,27259,72,489,False,False,15360
385,27255,27252,27255,315,479,False,False,15400
386,27255,27252,27255,318,324,False,False,15440
387,27255,27252,27255,222,278,False,False,15480
388,27255,27252,27255,279,314,False,False,15520
389,27248,27248,27248,367,457,False,True,15560
390,27248,27248,27248,428,437,False,False,15600
391,27248,27248,27248,448,454,False,False,15640
392,27243,27243,27243,173,208,False,True,15680
393,27243,27243,27243,80,89,False,False,15720
394,27243,27243,27243,175,196,False,False,15760
395,27243,27243,27243,133,134,False,False,15800
396,27243,27243,27243,249,258,False,False,15840
397,27243,27243,27243,89,129,False,False,15880
398,27247,27243,27247,73,96,False,False,15920
399,27247,27243,27247,156,158,False,False,15960
400,27247,27243,27247,275,295,False,False,16000
401,27247,27243,27247,274,281,False,False,16040
402,27247,27243,27247,61,64,False,False,16080
403,27254,27243,27254,116,282,False,False,16120
404,27249,27243,27249,160,198,False,False,16160
405,27243,27243,27243,151,373,False,False,16200
406,27243,27243,27243,57,136,False,False,16240
407,27247,27243,27247,254,263,False,False,16280
408,27247,27243,27247,345,356,False,False,16320
409,27242,27242,27242,401,497,False,True,16360
410,27232,27232,27232,346,457,False,True,16400
411,27242,27232,27242,363,470,False,False,16440
412,27242,27232,27242,223,234,False,False,16480
413,27242,27232,27242,88,92,False,False,16520
414,27242,27232,27242,373,394,False,False,16560
415,27242,27232,27242,83,84,False,False,16600
416,27242,27232,27242,124,125,False,False,16640
417,27240,27232,27240,138,222,False,False,16680
418,27256,27232,27256,373,399,False,False,16720
419,27242,27232,27242,162,248,False,False,16760
420,27232,27232,27232,157,220,False,False,16800
421,27250,27232,27250,356,475,False,False,16840
422,27243,27232,27243,383,418,False,False,16880
423,27258,27232,27258,261,489,False,False,16920
424,27250,27232,27250,52,66,False,False,16960
425,27239,27232,27239,302,321,False,False,17000
426,27236,27232,27236,377,383,False,False,17040
427,27234,27232,27234,373,406,False,False,17080
428,27234,27232,27234,162,219,False,False,17120
429,27234,27232,27234,81,161,False,False,17160
430,27231,27231,27231,172,447,False,True,17200
431,27229,27229,27229,422,467,False,True,17240
432,27222,27222,27222,177,204,False,True,17280
433,27245,27222,27245,211,442,False,False,17320
434,27245,27222,27245,221,245,False,False,17360
435,27236,27222,27236,81,379,False,False,17400
